"","asin","asin_2","real_name_norm","real_name_chr_len","title_lower","chr_len_dynamic","is_the_same","need_fix"
"1","B09BHV4DWG","B09BHV4DWG","0","1",NA,NA,NA,NA
"2","B082WSYYCX","B082WSYYCX","0","1",NA,NA,NA,NA
"3","B082WSZXHB","B082WSZXHB","0","1",NA,NA,NA,NA
"4","B072MSQDQG","B072MSQDQG","0","1",NA,NA,NA,NA
"5","B00RP0J7AW","B00RP0J7AW","0","1",NA,NA,NA,NA
"6","B079FN8N4T","B079FN8N4T","0","1",NA,NA,NA,NA
"7","B0BQC5XRMF","B0BQC5XRMF","0","1",NA,NA,NA,NA
"8","B09CTY5P2L","B09CTY5P2L","0","1",NA,NA,NA,NA
"9","B00HLUUNOK","B00HLUUNOK","0","1",NA,NA,NA,NA
"10","B075RGG4Y5","B075RGG4Y5","0","1","bellissima imetec creativity b27 100 piastra per capelli con rivestimento in ceramica e controllo della temperatura, temperatura regolabile 150°c / 230°c","153","FALSE","Fix Me Please My Lord"
"11","B00VYLJ4H4","B00VYLJ4H4","0","1",NA,NA,NA,NA
"12","B015O6A68K","B015O6A68K","0","1",NA,NA,NA,NA
"13","B09ZJ9QXZY","B09ZJ9QXZY","0","1",NA,NA,NA,NA
"14","B01N55NF5G","B01N55NF5G","0","1",NA,NA,NA,NA
"15","B0BFBDBJK2","B0BFBDBJK2","0","1",NA,NA,NA,NA
"16","B09SGB55N4","B09SGB55N4","0","1",NA,NA,NA,NA
"17","B00N4K5PDK","B00N4K5PDK","0","1",NA,NA,NA,NA
"18","B00SKVYB6K","B00SKVYB6K","0","1",NA,NA,NA,NA
"19","B00VRGPXF8","B00VRGPXF8","0","1",NA,NA,NA,NA
"20","B075RFR2CV","B075RFR2CV","0","1",NA,NA,NA,NA
"21","B06WP9PPT6","B06WP9PPT6","0","1",NA,NA,NA,NA
"22","B0B9HC9HSR","B0B9HC9HSR","0","1",NA,NA,NA,NA
"23","B07FYHM3QY","B07FYHM3QY","0","1",NA,NA,NA,NA
"24","B07S5L9937","B07S5L9937","0","1",NA,NA,NA,NA
"25","B08X7BYVZQ","B08X7BYVZQ","0","1",NA,NA,NA,NA
"26","B015O6A6GM","B015O6A6GM","0","1","bellissima imetec p11 2300 asciugacapelli professionale, 2300 w, rivestimento in ceramica e tormalina, 8 combinazioni aria/temperatura, beccuccio stretto, diffusore capelli ricci","178","FALSE","Fix Me Please My Lord"
"27","B00O4QVS66","B00O4QVS66","0","1",NA,NA,NA,NA
"28","B07Y8DPHCL","B07Y8DPHCL","0","1",NA,NA,NA,NA
"29","B00G3DNXIE","B00G3DNXIE","0","1",NA,NA,NA,NA
"30","B0BNL2X57R","B0BNL2X57R","0","1",NA,NA,NA,NA
"31","B09BJ7LNR6","B09BJ7LNR6","0","1",NA,NA,NA,NA
"32","B06WGV3DBP","B06WGV3DBP","0","1","bellissima my pro imetec beach waves gt20 100 piastra per capelli a onde larghe e strette, rivestimento in ceramica, temperatura regolabile","139","FALSE","Fix Me Please My Lord"
"33","B08NKXBJX1","B08NKXBJX1","0","1","bellissima my pro imetec beach waves gt20 400 piastra per capelli per onde larghe e strette, rivestimento in ceramica, temperatura regolabile 160 c°- 200°c","155","FALSE","Fix Me Please My Lord"
"34","B07JVLQ38M","B07JVLQ38M","0","1",NA,NA,NA,NA
"35","B08LVXG2V1","B08LVXG2V1","0","1",NA,NA,NA,NA
"36","B07W3VJQZD","B07W3VJQZD","0","1",NA,NA,NA,NA
"37","B08J8XNFNC","B08J8XNFNC","0","1",NA,NA,NA,NA
"38","B08J8XCSH4","B08J8XCSH4","0","1","bellissima my pro imetec gt22 120, accessorio sculpted curls per styler arricciacapelli twist & style, ferro riscaldato da 11 mm, rivestimento in ceramica, temperatura 185°c","173","FALSE","Fix Me Please My Lord"
"39","B08J8XCSHB","B08J8XCSHB","0","1",NA,NA,NA,NA
"40","B08J8XN21F","B08J8XN21F","0","1","bellissima my pro imetec gt22 140 accessorio glamour waves per styler arricciacapelli twist e style, rivestimento in ceramica, temperatura 190 gradi c, nero, diametro 13, 38 mm","176","FALSE","Fix Me Please My Lord"
"41","B09CTZ6WKM","B09CTZ6WKM","0","1",NA,NA,NA,NA
"42","B09CTZZGFY","B09CTZZGFY","0","1","bellissima my pro imetec gt22 160, accessorio hollywood waves per styler arricciacapelli twist&style, rivestimento in ceramica, temperatura 190°c, ovale, diametro 38 x 25 mm","173","FALSE","Fix Me Please My Lord"
"43","B07S5L8VYG","B07S5L8VYG","0","1","bellissima my pro imetec magic style brush p2 30 spazzola riscaldata, capelli liscio effetto naturale/mosso sostenuto, diametro 30 mm, tecnologia a ioni, rivestimento ceramica","175","FALSE","Fix Me Please My Lord"
"44","B07FZ4PVRP","B07FZ4PVRP","0","1",NA,NA,NA,NA
"45","B08J8XH5BH","B08J8XH5BH","0","1","bellissima my pro imetec twist & style gt22 100, manico per styler arricciacapelli per onde e ricci, temperatura automatica, riscaldamento rapido, orientabile a 90°, accessori non inclusi","187","FALSE","Fix Me Please My Lord"
"46","B0BFGMJSV6","B0BFGMJSV6","0","1","bellissima imetec twist&style arricciacapelli, manico + 4 accessori per ricci e onde, temperatura automatica, riscaldamento rapido, rivestimento in ceramica, orientabile a 90°, idea regalo","188","FALSE","Fix Me Please My Lord"
"47","B015O6AFPE","B015O6AFPE","0","1",NA,NA,NA,NA
"48","B07Y8DHN3F","B07Y8DHN3F","0","1",NA,NA,NA,NA
"49","B093C19CSD","B093C19CSD","0","1","imetec salon expert p3 3600 asciugacapelli, motore professionale, 2200 w, ionizzatore, griglia ceramica e tormalina, 8 combinazioni aria temperatura, concentratore e diffusore professionali","189","FALSE","Fix Me Please My Lord"
"50","B079Z9GXQS","B079Z9GXQS","0","1",NA,NA,NA,NA
"51","B0987D6J4J","B0987D6J4J","0","1",NA,NA,NA,NA
"52","B0987BBB14","B0987BBB14","0","1",NA,NA,NA,NA
"53","B0987C1JFD","B0987C1JFD","0","1","imetec eco ceramic, termoventilatore, stufetta elettrica, tecnologia ceramica, basso consumo energetico, silenzioso, 3 livelli di temperatura, termostato ambiente","162","FALSE","Fix Me Please My Lord"
"54","B0987CNV93","B0987CNV93","0","1","imetec eco rapid, stufa elettrica 2000 w, tecnologia a basso consumo energetico, termoconvettore 4 temperature, termostato ambiente, silenzioso","143","FALSE","Fix Me Please My Lord"
"55","B0987B62CP","B0987B62CP","0","1",NA,NA,NA,NA
"56","B0987BTDT2","B0987BTDT2","0","1",NA,NA,NA,NA
"57","B0987D9K2X","B0987D9K2X","0","1",NA,NA,NA,NA
"58","B0987C6H2S","B0987C6H2S","0","1","imetec silent power pure, termoventilatore silenzioso con ionizzatore e timer di autospegnimento, stufetta elettrica, 2100 w, funzione antigelo, temperatura regolabile, 4 funzioni","179","FALSE","Fix Me Please My Lord"
"59","B08NPG5D5Y","B08NPG5D5Y","0","1","imetec buonfrullato, frullatore compatto, bicchiere in plastica bpa free, capacità 700 ml, coperchio dosa liquidi, 400 w","120","FALSE","Fix Me Please My Lord"
"60","B0BDVBHWWD","B0BDVBHWWD","0","1",NA,NA,NA,NA
"61","B08JVC7VB4","B08JVC7VB4","0","1",NA,NA,NA,NA
"62","B08HS77R9B","B08HS77R9B","0","1",NA,NA,NA,NA
"63","B00FM266R2","B00FM266R2","0","1",NA,NA,NA,NA
"64","B08NP5M6D4","B08NP5M6D4","0","1",NA,NA,NA,NA
"65","B09K7ZS81N","B09K7ZS81N","0","1","imetec friggileggero - friggitrice ad aria multifunzione, 12 programmi, riscaldamento rapido, 18 l, 1550 w, comandi digitali, cestello, griglia, leccarda, ricettario, 40x36x34,5 cm","180","FALSE","Fix Me Please My Lord"
"66","B08NK25BLP","B08NK25BLP","0","1",NA,NA,NA,NA
"67","B08RYGFL21","B08RYGFL21","0","1",NA,NA,NA,NA
"68","B08NPF5HWD","B08NPF5HWD","0","1",NA,NA,NA,NA
"69","B09CYDKRZ6","B09CYDKRZ6","0","1","imetec frullafacile, frullatore a immersione, gambo xl, lame in acciaio inox, funzionamento a impulsi, bicchiere graduato da 700 ml bpa free, 800 w, impugnatura ergonomica","171","FALSE","Fix Me Please My Lord"
"70","B08NPR9BYM","B08NPR9BYM","0","1",NA,NA,NA,NA
"71","B09CYM6KR3","B09CYM6KR3","0","1",NA,NA,NA,NA
"72","B08JVCHZF3","B08JVCHZF3","0","1",NA,NA,NA,NA
"73","B08R7NSVL5","B08R7NSVL5","0","1",NA,NA,NA,NA
"74","B08XBZV29G","B08XBZV29G","0","1",NA,NA,NA,NA
"75","B08JV8FFYH","B08JV8FFYH","0","1",NA,NA,NA,NA
"76","B01JOL22Y2","B01JOL22Y2","0","1","imetec hb3 frullatore a immersione, gambo large estraibile, lame in acciaio inox, funzionamento a impulsi, 450 w","112","FALSE","Fix Me Please My Lord"
"77","B08JV9VVQT","B08JV9VVQT","0","1",NA,NA,NA,NA
